coin,is_long,total_value,total_pnl,num_traders,direction,avg_value_per_trader
BTC,False,596210497.73,576322.03,31,SHORT 📉,19232596.70
BTC,True,335494208.65,714678.93,43,LONG 📈,7802190.90
ETH,False,226457064.45,96587555.32,26,SHORT 📉,8709887.09
ETH,True,158758900.35,-18628745.98,35,LONG 📈,4535968.58
HYPE,False,65784450.55,26062295.13,54,SHORT 📉,1218230.57
SOL,False,50204899.09,11201690.04,26,SHORT 📉,1930957.66
SOL,True,33106165.57,-11512934.72,18,LONG 📈,1839231.42
HYPE,True,31170291.52,-2921377.33,22,LONG 📈,1416831.43
XRP,True,27482277.88,1763293.53,13,LONG 📈,2114021.38
XRP,False,24206555.87,-2760406.55,18,SHORT 📉,1344808.66
ADA,True,18803753.47,-3240747.08,13,LONG 📈,1446442.57
kPEPE,True,16635276.31,-3355835.02,7,LONG 📈,2376468.04
kPEPE,False,15312314.39,3430311.38,13,SHORT 📉,1177870.34
ADA,False,13131126.42,375506.65,10,SHORT 📉,1313112.64
LINK,False,12925266.25,760127.56,12,SHORT 📉,1077105.52
DOGE,False,11744060.25,7419921.75,11,SHORT 📉,1067641.84
SUI,False,10981202.15,-520946.86,7,SHORT 📉,1568743.16
LTC,False,10501171.17,203512.21,12,SHORT 📉,875097.60
DOGE,True,9968107.27,-4572523.32,5,LONG 📈,1993621.45
LTC,True,8765781.78,114950.02,3,LONG 📈,2921927.26
LINK,True,8441278.17,119153.69,3,LONG 📈,2813759.39
ENA,False,8364905.00,7570469.89,9,SHORT 📉,929433.89
POPCAT,True,6884547.58,-1245457.26,5,LONG 📈,1376909.52
FARTCOIN,False,6214591.21,3696273.38,19,SHORT 📉,327083.75
ONDO,False,5335156.57,853246.85,9,SHORT 📉,592795.17
POPCAT,False,5224649.69,4729021.44,14,SHORT 📉,373189.26
BERA,False,5180914.42,-140230.16,11,SHORT 📉,470992.22
MKR,True,4027276.85,132539.53,3,LONG 📈,1342425.62
MKR,False,4022279.11,1199336.40,10,SHORT 📉,402227.91
AAVE,False,3808719.42,658123.41,10,SHORT 📉,380871.94
ENA,True,3789918.33,-134728.91,7,LONG 📈,541416.90
BNB,False,3520793.26,72581.00,11,SHORT 📉,320072.11
AAVE,True,3442591.51,-186057.18,7,LONG 📈,491798.79
HBAR,True,3431971.91,-858496.01,4,LONG 📈,857992.98
WLD,True,3270969.15,-2190709.45,3,LONG 📈,1090323.05
WLD,False,3249470.91,1334091.68,10,SHORT 📉,324947.09
kBONK,True,2696490.48,-1491875.88,4,LONG 📈,674122.62
TRUMP,True,2633075.99,148789.38,7,LONG 📈,376153.71
AVAX,False,2628345.95,788587.88,10,SHORT 📉,262834.60
