address,coin,entry_price,leverage,position_value,unrealized_pnl,liquidation_price,is_long,timestamp
0x023a3d058020fb76cca98f01b3c48c8938a22355,BTC,84393.30,40,5573307.48,7228.60,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ETH,1927.91,25,6186177.55,45487.68,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ATOM,4.59,5,71278.43,558.47,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,DYDX,0.62,5,231339.08,8559.77,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,SOL,129.79,20,814844.91,-1269.52,1899.00,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,AVAX,18.48,10,369852.22,-9246.59,573.77,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,BNB,629.65,10,780187.22,1375.85,9349.49,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,APE,0.52,5,77524.08,1622.60,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,OP,0.88,10,39642.16,-1364.99,249.12,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,LTC,93.41,10,533287.75,-878.16,1992.81,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ARB,0.36,10,131770.88,4629.84,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,DOGE,0.17,10,661204.32,-11974.44,3.05,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,INJ,9.84,10,30105.53,-1114.52,3683.58,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,SUI,2.34,10,183349.91,2341.24,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,kPEPE,0.01,10,2966193.82,-184520.96,0.03,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,CRV,0.44,10,30869.90,113.49,155.70,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,LDO,0.97,10,70301.51,-1356.68,152.73,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,LINK,13.81,10,565658.63,-13412.78,284.92,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,CFX,0.09,5,38605.77,-1030.72,23.62,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,XRP,2.37,20,483065.61,1008.08,56.61,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,BCH,337.32,10,121468.75,-1028.78,30658.13,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,AAVE,170.98,10,411414.42,-13086.41,4823.26,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,MKR,1207.58,10,29677.52,93.41,440296.79,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,WLD,0.87,10,814828.89,-20864.59,12.71,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,FXS,1.79,5,25011.48,-1785.92,799.11,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,TRX,0.22,10,53267.55,190.13,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,kSHIB,0.01,10,30018.59,62.09,4.72,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,UNI,6.21,10,169495.20,3833.26,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,SEI,0.20,10,96644.35,-1887.53,22.95,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,RUNE,1.16,5,668998.79,-28653.06,19.95,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ZRO,2.27,5,295401.41,23393.22,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,DOT,4.21,10,96738.12,4543.86,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,TRB,29.11,3,37630.50,895.86,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,FTT,1.28,3,36877.07,427.48,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,BIGTIME,0.05,5,53061.57,-5028.99,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,KAS,0.08,3,58231.23,151.47,12.86,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ORBS,0.03,3,58167.43,26212.00,3.65,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,BLUR,0.10,5,33499.43,788.83,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,TIA,3.42,10,267506.26,-4739.97,144.27,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ADA,0.71,10,558967.05,14039.14,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,TON,3.44,10,223647.82,2792.37,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,FET,0.52,5,83072.38,-2238.02,66.62,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,NEAR,2.57,10,158476.36,-6251.85,185.13,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,MEME,0.00,5,51527.66,1902.82,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,NEO,7.96,5,33795.99,973.93,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ZEN,9.37,5,32117.52,-734.38,3095.48,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,FIL,2.90,5,58871.91,2068.04,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,PYTH,0.15,5,65657.49,1978.74,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,SUSHI,0.62,5,69101.94,4022.94,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,IMX,0.56,5,45712.35,-935.92,130.12,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,kBONK,0.01,10,501871.15,-14154.18,0.26,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,JUP,0.51,10,198983.76,-6482.70,29.12,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,GALA,0.02,3,58977.81,-526.40,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,JTO,2.16,3,61806.44,-1282.21,371.16,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,WIF,0.50,10,120173.84,-2182.51,46.34,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,CAKE,2.21,3,207311.14,-24312.73,120.03,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ONDO,0.86,10,318524.84,-8470.19,30.77,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ZETA,0.21,3,30187.41,-1032.69,71.84,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,DYM,0.31,3,48036.40,-2956.82,68.09,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,W,0.09,5,35440.51,1392.76,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,STRK,0.17,5,49371.89,3478.72,0.00,True,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,TAO,249.98,5,367845.21,-11652.17,7510.03,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,MYRO,0.02,3,60988.15,-3111.66,2.97,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,kFLOKI,0.06,5,131103.74,-2345.30,5.00,False,2025-03-17 15:55:28
0x023a3d058020fb76cca98f01b3c48c8938a22355,ETHFI,0.68,5,63976.56,1389.32,0.00,True,2025-03-17 15:55:28
